sentence,argument_head,predicate_head,role,label
"The amazing thing is that all of these crooks demand protection under international law , and define all those who attack them as "" war criminals , "" with some Western media repeating the allegations .",10,9,AGENT,0
"The amazing thing is that all of these crooks demand protection under international law , and define all those who attack them as "" war criminals , "" with some Western media repeating the allegations .",18,16,AGENT,0
"The amazing thing is that all of these crooks demand protection under international law , and define all those who attack them as "" war criminals , "" with some Western media repeating the allegations .",18,20,AGENT,1
"The amazing thing is that all of these crooks demand protection under international law , and define all those who attack them as "" war criminals , "" with some Western media repeating the allegations .",21,20,AGENT,0
"The amazing thing is that all of these crooks demand protection under international law , and define all those who attack them as "" war criminals , "" with some Western media repeating the allegations .",31,32,AGENT,1
"The amazing thing is that all of these crooks demand protection under international law , and define all those who attack them as "" war criminals , "" with some Western media repeating the allegations .",34,32,AGENT,0
"The good news is that all of this is temporary , because the evolution of international law has always adapted itself to reality .",2,3,AGENT,1
"The good news is that all of this is temporary , because the evolution of international law has always adapted itself to reality .",13,19,AGENT,0
"The good news is that all of this is temporary , because the evolution of international law has always adapted itself to reality .",20,19,AGENT,0
"Above all , we need a total absolute unity and determination of the civilized world against all three circles of evil .",1,4,AGENT,0
"Above all , we need a total absolute unity and determination of the civilized world against all three circles of evil .",3,4,AGENT,1
"Above all , we need a total absolute unity and determination of the civilized world against all three circles of evil .",8,4,AGENT,0
"Iran is encircled by Afghanistan , by the Gulf States , Iraq and the Moslem republics of the former Soviet Union .",0,2,AGENT,0
"Iran is encircled by Afghanistan , by the Gulf States , Iraq and the Moslem republics of the former Soviet Union .",4,2,AGENT,0
"Iran is encircled by Afghanistan , by the Gulf States , Iraq and the Moslem republics of the former Soviet Union .",9,2,AGENT,0
"Syria is surrounded by Turkey , Iraq , Jordan and Israel .",0,2,AGENT,0
"Syria is surrounded by Turkey , Iraq , Jordan and Israel .",4,2,AGENT,0
It has an ideology which claims supremacy over Western culture .,3,1,AGENT,0
It has an ideology which claims supremacy over Western culture .,3,5,AGENT,0
It has an ideology which claims supremacy over Western culture .,6,5,AGENT,0
"Its so - called moderates and conservatives play their own virtuoso version of the "" good - cop versus bad - cop "" game .",4,7,AGENT,1
"Its so - called moderates and conservatives play their own virtuoso version of the "" good - cop versus bad - cop "" game .",11,7,AGENT,0
"Iran sponsors Syrian terrorism , it is certainly behind much of the action in Iraq , it is fully funding the Hezbollah and , through it , the Palestinian Hamas and Islamic Jihad ; it performed acts of terror at least in Europe and in South America and probably also in Uzbekistan and Saudi Arabia and it truly leads a multi-national terror consortium , which includes , as minor players , Syria , Lebanon and certain Shiite elements in Iraq .",0,1,AGENT,1
"Iran sponsors Syrian terrorism , it is certainly behind much of the action in Iraq , it is fully funding the Hezbollah and , through it , the Palestinian Hamas and Islamic Jihad ; it performed acts of terror at least in Europe and in South America and probably also in Uzbekistan and Saudi Arabia and it truly leads a multi-national terror consortium , which includes , as minor players , Syria , Lebanon and certain Shiite elements in Iraq .",3,1,AGENT,1
"Iran sponsors Syrian terrorism , it is certainly behind much of the action in Iraq , it is fully funding the Hezbollah and , through it , the Palestinian Hamas and Islamic Jihad ; it performed acts of terror at least in Europe and in South America and probably also in Uzbekistan and Saudi Arabia and it truly leads a multi-national terror consortium , which includes , as minor players , Syria , Lebanon and certain Shiite elements in Iraq .",21,19,AGENT,1
"Iran sponsors Syrian terrorism , it is certainly behind much of the action in Iraq , it is fully funding the Hezbollah and , through it , the Palestinian Hamas and Islamic Jihad ; it performed acts of terror at least in Europe and in South America and probably also in Uzbekistan and Saudi Arabia and it truly leads a multi-national terror consortium , which includes , as minor players , Syria , Lebanon and certain Shiite elements in Iraq .",36,35,AGENT,0
"Iran sponsors Syrian terrorism , it is certainly behind much of the action in Iraq , it is fully funding the Hezbollah and , through it , the Palestinian Hamas and Islamic Jihad ; it performed acts of terror at least in Europe and in South America and probably also in Uzbekistan and Saudi Arabia and it truly leads a multi-national terror consortium , which includes , as minor players , Syria , Lebanon and certain Shiite elements in Iraq .",62,58,AGENT,1
"Iran sponsors Syrian terrorism , it is certainly behind much of the action in Iraq , it is fully funding the Hezbollah and , through it , the Palestinian Hamas and Islamic Jihad ; it performed acts of terror at least in Europe and in South America and probably also in Uzbekistan and Saudi Arabia and it truly leads a multi-national terror consortium , which includes , as minor players , Syria , Lebanon and certain Shiite elements in Iraq .",62,65,AGENT,0
"Iran sponsors Syrian terrorism , it is certainly behind much of the action in Iraq , it is fully funding the Hezbollah and , through it , the Palestinian Hamas and Islamic Jihad ; it performed acts of terror at least in Europe and in South America and probably also in Uzbekistan and Saudi Arabia and it truly leads a multi-national terror consortium , which includes , as minor players , Syria , Lebanon and certain Shiite elements in Iraq .",71,65,AGENT,1
I have no doubt that the civilized world will prevail .,0,1,AGENT,1
I have no doubt that the civilized world will prevail .,3,1,AGENT,0
I have no doubt that the civilized world will prevail .,7,9,AGENT,0
Zawahiri was associated with a faction of the Egyptian Islamic Jihad known as the Vanguards of Conquest .,0,2,AGENT,1
Zawahiri was associated with a faction of the Egyptian Islamic Jihad known as the Vanguards of Conquest .,5,2,AGENT,0
A key question is how they acquired the anthrax strain first isolated by the Texas Veterinary Medical Diagnostic Lab in 1980 .,2,3,AGENT,1
A key question is how they acquired the anthrax strain first isolated by the Texas Veterinary Medical Diagnostic Lab in 1980 .,5,6,AGENT,1
A key question is how they acquired the anthrax strain first isolated by the Texas Veterinary Medical Diagnostic Lab in 1980 .,9,6,AGENT,0
"According to senior counter terrorism officials , both here and abroad , among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it .",5,19,AGENT,0
"According to senior counter terrorism officials , both here and abroad , among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it .",14,19,AGENT,0
"According to senior counter terrorism officials , both here and abroad , among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it .",20,19,AGENT,0
"According to senior counter terrorism officials , both here and abroad , among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it .",20,22,AGENT,1
"According to senior counter terrorism officials , both here and abroad , among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it .",32,36,AGENT,1
"According to senior counter terrorism officials , both here and abroad , among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it .",37,36,AGENT,0
"An early September 2003 Newsweek article included a rumor by a Taliban source that at a meeting in April 2003 Bin Laden was planning an "" unbelievable "" biological attack , the plans for which had suffered a setback upon the arrest of Khalid Shaikh Mohammed ( "" KSM "" ) .",5,6,AGENT,0
"An early September 2003 Newsweek article included a rumor by a Taliban source that at a meeting in April 2003 Bin Laden was planning an "" unbelievable "" biological attack , the plans for which had suffered a setback upon the arrest of Khalid Shaikh Mohammed ( "" KSM "" ) .",8,6,AGENT,0
"An early September 2003 Newsweek article included a rumor by a Taliban source that at a meeting in April 2003 Bin Laden was planning an "" unbelievable "" biological attack , the plans for which had suffered a setback upon the arrest of Khalid Shaikh Mohammed ( "" KSM "" ) .",21,23,AGENT,1
"An early September 2003 Newsweek article included a rumor by a Taliban source that at a meeting in April 2003 Bin Laden was planning an "" unbelievable "" biological attack , the plans for which had suffered a setback upon the arrest of Khalid Shaikh Mohammed ( "" KSM "" ) .",29,23,AGENT,0
"An early September 2003 Newsweek article included a rumor by a Taliban source that at a meeting in April 2003 Bin Laden was planning an "" unbelievable "" biological attack , the plans for which had suffered a setback upon the arrest of Khalid Shaikh Mohammed ( "" KSM "" ) .",32,36,AGENT,0
"An early September 2003 Newsweek article included a rumor by a Taliban source that at a meeting in April 2003 Bin Laden was planning an "" unbelievable "" biological attack , the plans for which had suffered a setback upon the arrest of Khalid Shaikh Mohammed ( "" KSM "" ) .",38,36,AGENT,0
"In November 2003 , a report by a UN Panel of experts concluded that Al Qaeda is determined to use chemical and biological weapons and is restrained only by technical difficulties .",1,12,AGENT,0
"In November 2003 , a report by a UN Panel of experts concluded that Al Qaeda is determined to use chemical and biological weapons and is restrained only by technical difficulties .",5,12,AGENT,1
"In a statement issued June 16 , 2004 , the 9/11 Commission Staff concluded that "" Al Qaeda had an ambitious biological weapons program and was making advances in its ability to produce anthrax prior to September 11 .",2,13,AGENT,0
"In a statement issued June 16 , 2004 , the 9/11 Commission Staff concluded that "" Al Qaeda had an ambitious biological weapons program and was making advances in its ability to produce anthrax prior to September 11 .",12,13,AGENT,1
"In a statement issued June 16 , 2004 , the 9/11 Commission Staff concluded that "" Al Qaeda had an ambitious biological weapons program and was making advances in its ability to produce anthrax prior to September 11 .",33,32,AGENT,0
"On August 9 , 2004 , it was announced that in the Spring of 2001 , a man named El - Shukrijumah , also known as Jafar the Pilot , who was part of a "" second wave , "" had been casing New York City helicopters .",1,8,AGENT,0
"On August 9 , 2004 , it was announced that in the Spring of 2001 , a man named El - Shukrijumah , also known as Jafar the Pilot , who was part of a "" second wave , "" had been casing New York City helicopters .",6,8,AGENT,1
"On August 9 , 2004 , it was announced that in the Spring of 2001 , a man named El - Shukrijumah , also known as Jafar the Pilot , who was part of a "" second wave , "" had been casing New York City helicopters .",21,18,AGENT,0
"On August 9 , 2004 , it was announced that in the Spring of 2001 , a man named El - Shukrijumah , also known as Jafar the Pilot , who was part of a "" second wave , "" had been casing New York City helicopters .",17,42,AGENT,1
"On August 9 , 2004 , it was announced that in the Spring of 2001 , a man named El - Shukrijumah , also known as Jafar the Pilot , who was part of a "" second wave , "" had been casing New York City helicopters .",46,42,AGENT,0
Photographs from a seized computer disc included the controls and the locks on the door between the passengers and pilot .,0,6,AGENT,0
Photographs from a seized computer disc included the controls and the locks on the door between the passengers and pilot .,8,6,AGENT,0
"In a bulletin , the FBI noted that the surveillance might relate to a plot to disperse a chemical or biological weapon .",2,6,AGENT,0
"In a bulletin , the FBI noted that the surveillance might relate to a plot to disperse a chemical or biological weapon .",5,6,AGENT,1
"In a bulletin , the FBI noted that the surveillance might relate to a plot to disperse a chemical or biological weapon .",9,11,AGENT,0
"In a bulletin , the FBI noted that the surveillance might relate to a plot to disperse a chemical or biological weapon .",21,16,AGENT,0
""" The Prophet 's guidance , "" says Michael Scheuer , an al - Qaeda analyst who recently retired from the CIA and once headed its Bin Laden unit , "" was always , Before you attack someone , warn them very clearly ... "" The anthrax mailings followed the pattern of letters they sent in January 1997 to newspaper branches in Washington , D.C. and New York City , as well as symbolic targets .",9,7,AGENT,1
""" The Prophet 's guidance , "" says Michael Scheuer , an al - Qaeda analyst who recently retired from the CIA and once headed its Bin Laden unit , "" was always , Before you attack someone , warn them very clearly ... "" The anthrax mailings followed the pattern of letters they sent in January 1997 to newspaper branches in Washington , D.C. and New York City , as well as symbolic targets .",15,18,AGENT,1
""" The Prophet 's guidance , "" says Michael Scheuer , an al - Qaeda analyst who recently retired from the CIA and once headed its Bin Laden unit , "" was always , Before you attack someone , warn them very clearly ... "" The anthrax mailings followed the pattern of letters they sent in January 1997 to newspaper branches in Washington , D.C. and New York City , as well as symbolic targets .",28,24,AGENT,1
""" The Prophet 's guidance , "" says Michael Scheuer , an al - Qaeda analyst who recently retired from the CIA and once headed its Bin Laden unit , "" was always , Before you attack someone , warn them very clearly ... "" The anthrax mailings followed the pattern of letters they sent in January 1997 to newspaper branches in Washington , D.C. and New York City , as well as symbolic targets .",35,36,AGENT,1
""" The Prophet 's guidance , "" says Michael Scheuer , an al - Qaeda analyst who recently retired from the CIA and once headed its Bin Laden unit , "" was always , Before you attack someone , warn them very clearly ... "" The anthrax mailings followed the pattern of letters they sent in January 1997 to newspaper branches in Washington , D.C. and New York City , as well as symbolic targets .",37,36,AGENT,1
""" The Prophet 's guidance , "" says Michael Scheuer , an al - Qaeda analyst who recently retired from the CIA and once headed its Bin Laden unit , "" was always , Before you attack someone , warn them very clearly ... "" The anthrax mailings followed the pattern of letters they sent in January 1997 to newspaper branches in Washington , D.C. and New York City , as well as symbolic targets .",40,39,AGENT,0
""" The Prophet 's guidance , "" says Michael Scheuer , an al - Qaeda analyst who recently retired from the CIA and once headed its Bin Laden unit , "" was always , Before you attack someone , warn them very clearly ... "" The anthrax mailings followed the pattern of letters they sent in January 1997 to newspaper branches in Washington , D.C. and New York City , as well as symbolic targets .",47,48,AGENT,0
""" The Prophet 's guidance , "" says Michael Scheuer , an al - Qaeda analyst who recently retired from the CIA and once headed its Bin Laden unit , "" was always , Before you attack someone , warn them very clearly ... "" The anthrax mailings followed the pattern of letters they sent in January 1997 to newspaper branches in Washington , D.C. and New York City , as well as symbolic targets .",50,48,AGENT,0
The letter bombs were sent in connection with the detention of the blind sheik Abdel Rahman and those responsible for the earlier World Trade Center bombing in 1993 .,2,4,AGENT,0
The letter bombs were sent in connection with the detention of the blind sheik Abdel Rahman and those responsible for the earlier World Trade Center bombing in 1993 .,6,4,AGENT,0
"Handwritten notes and files on a laptop seized upon the capture of KSM , Al Qaeda 's # 3 , included a feasible anthrax production plan using a spray dryer and addressed the recruitment of necessary expertise .",1,20,AGENT,0
"Handwritten notes and files on a laptop seized upon the capture of KSM , Al Qaeda 's # 3 , included a feasible anthrax production plan using a spray dryer and addressed the recruitment of necessary expertise .",25,20,AGENT,0
"Handwritten notes and files on a laptop seized upon the capture of KSM , Al Qaeda 's # 3 , included a feasible anthrax production plan using a spray dryer and addressed the recruitment of necessary expertise .",33,31,AGENT,0
The computer disk was confiscated from him during his arrest by the CIA in Azerbaijan and handed over to the Egyptian authorities .,2,4,AGENT,0
The computer disk was confiscated from him during his arrest by the CIA in Azerbaijan and handed over to the Egyptian authorities .,6,4,AGENT,0
The computer disk was confiscated from him during his arrest by the CIA in Azerbaijan and handed over to the Egyptian authorities .,9,4,AGENT,0
There is a risk that observers underestimate the time that Al Qaeda has had to make progress in such recruitment and research and development .,3,1,AGENT,0
There is a risk that observers underestimate the time that Al Qaeda has had to make progress in such recruitment and research and development .,5,6,AGENT,1
There is a risk that observers underestimate the time that Al Qaeda has had to make progress in such recruitment and research and development .,8,6,AGENT,0
Others argue that he was to be part of a second wave of airliners directed to targets on the West Coast .,0,1,AGENT,1
"KSM explained that Moussaoui 's inquiries about crop dusters may have been related to the anthrax work being done by US - trained biochemist and Al Qaeda operative , Malaysian Yazid Sufaat .",0,1,AGENT,1
Emails from Zawahiri to Atef in the Spring of 1999 indicate that Ayman was a close student of the USAMRIID anthrax program .,0,10,AGENT,0
He believed that the koran instructed that a jihadist should use the weapons used by the crusader .,0,1,AGENT,1
He believed that the koran instructed that a jihadist should use the weapons used by the crusader .,4,5,AGENT,1
"The Wall Street Journal reported that a computer used by Zawahiri contains a June 1999 memo that "" said the program should seek cover and talent in educational institutions , which it said were ' more beneficial to us and allow easy access to specialists , which will greatly benefit us in the first stage , God willing . ' ''",3,4,AGENT,1
"The Wall Street Journal reported that a computer used by Zawahiri contains a June 1999 memo that "" said the program should seek cover and talent in educational institutions , which it said were ' more beneficial to us and allow easy access to specialists , which will greatly benefit us in the first stage , God willing . ' ''",7,11,AGENT,1
"The Wall Street Journal reported that a computer used by Zawahiri contains a June 1999 memo that "" said the program should seek cover and talent in educational institutions , which it said were ' more beneficial to us and allow easy access to specialists , which will greatly benefit us in the first stage , God willing . ' ''",15,11,AGENT,0
"The Wall Street Journal reported that a computer used by Zawahiri contains a June 1999 memo that "" said the program should seek cover and talent in educational institutions , which it said were ' more beneficial to us and allow easy access to specialists , which will greatly benefit us in the first stage , God willing . ' ''",20,22,AGENT,1
"The Wall Street Journal reported that a computer used by Zawahiri contains a June 1999 memo that "" said the program should seek cover and talent in educational institutions , which it said were ' more beneficial to us and allow easy access to specialists , which will greatly benefit us in the first stage , God willing . ' ''",23,22,AGENT,0
"The Wall Street Journal reported that a computer used by Zawahiri contains a June 1999 memo that "" said the program should seek cover and talent in educational institutions , which it said were ' more beneficial to us and allow easy access to specialists , which will greatly benefit us in the first stage , God willing . ' ''",42,40,AGENT,1
"The Wall Street Journal reported that a computer used by Zawahiri contains a June 1999 memo that "" said the program should seek cover and talent in educational institutions , which it said were ' more beneficial to us and allow easy access to specialists , which will greatly benefit us in the first stage , God willing . ' ''",42,49,AGENT,0
"The Wall Street Journal reported that a computer used by Zawahiri contains a June 1999 memo that "" said the program should seek cover and talent in educational institutions , which it said were ' more beneficial to us and allow easy access to specialists , which will greatly benefit us in the first stage , God willing . ' ''",50,49,AGENT,1
Zawahiri was associated with a faction of the Egyptian Islamic Jihad known as the Vanguards of Conquest .,0,2,AGENT,1
Zawahiri was associated with a faction of the Egyptian Islamic Jihad known as the Vanguards of Conquest .,5,2,AGENT,0
A key question is how they acquired the anthrax strain first isolated by the Texas Veterinary Medical Diagnostic Lab in 1980 .,2,3,AGENT,0
A key question is how they acquired the anthrax strain first isolated by the Texas Veterinary Medical Diagnostic Lab in 1980 .,5,6,AGENT,1
A key question is how they acquired the anthrax strain first isolated by the Texas Veterinary Medical Diagnostic Lab in 1980 .,9,6,AGENT,0
"A few days before Christmas 2003 , after a renewed audiotape threat by Zawahiri of attacks , to include in the US homeland , the threat level was raised to orange or "" high . """,4,28,AGENT,0
"A few days before Christmas 2003 , after a renewed audiotape threat by Zawahiri of attacks , to include in the US homeland , the threat level was raised to orange or "" high . """,11,28,AGENT,0
"A few days before Christmas 2003 , after a renewed audiotape threat by Zawahiri of attacks , to include in the US homeland , the threat level was raised to orange or "" high . """,26,28,AGENT,0
"A few days before Christmas 2003 , after a renewed audiotape threat by Zawahiri of attacks , to include in the US homeland , the threat level was raised to orange or "" high . """,30,28,AGENT,0
He urged the President that brigades and brigades would be coming under the banner of jihad carrying death and seeking paradise .,0,1,AGENT,1
He urged the President that brigades and brigades would be coming under the banner of jihad carrying death and seeking paradise .,3,1,AGENT,1
He urged the President that brigades and brigades would be coming under the banner of jihad carrying death and seeking paradise .,17,16,AGENT,0
He urged the President that brigades and brigades would be coming under the banner of jihad carrying death and seeking paradise .,20,19,AGENT,1
Zawahiri said that the US should expect another 9/11 on US soil .,0,1,AGENT,1
Zawahiri said that the US should expect another 9/11 on US soil .,4,6,AGENT,1
Zawahiri said that the US should expect another 9/11 on US soil .,8,6,AGENT,0
"According to some reports , Zawahiri is thought by intelligence to be somewhere near the border of Pakistan and Afghanistan .",3,7,AGENT,0
"According to some reports , Zawahiri is thought by intelligence to be somewhere near the border of Pakistan and Afghanistan .",5,7,AGENT,0
"According to some reports , Zawahiri is thought by intelligence to be somewhere near the border of Pakistan and Afghanistan .",9,7,AGENT,0
"At one time , some thought he had been spotted in Iran .",2,5,AGENT,0
"At one time , some thought he had been spotted in Iran .",4,5,AGENT,1
"At one time , some thought he had been spotted in Iran .",6,9,AGENT,0
The letter threatened to use biochemical weapons if the blind sheik was not released .,1,2,AGENT,1
The letter threatened to use biochemical weapons if the blind sheik was not released .,10,13,AGENT,1
"In May 2004 , Patrick Hughes , Lieutenant General ( Retired ) , Assistant Secretary for Information Analysis , Homeland Security Department testified before the 9/11 Commission .",1,22,AGENT,0
"In May 2004 , Patrick Hughes , Lieutenant General ( Retired ) , Assistant Secretary for Information Analysis , Homeland Security Department testified before the 9/11 Commission .",5,22,AGENT,1
"In May 2004 , Patrick Hughes , Lieutenant General ( Retired ) , Assistant Secretary for Information Analysis , Homeland Security Department testified before the 9/11 Commission .",26,22,AGENT,0
"He explained that interrogations and other evidence revealed that Al Qaeda wanted to strike the US with a nonconventional weapon , most notably anthrax .",0,1,AGENT,1
"He explained that interrogations and other evidence revealed that Al Qaeda wanted to strike the US with a nonconventional weapon , most notably anthrax .",3,7,AGENT,1
"He explained that interrogations and other evidence revealed that Al Qaeda wanted to strike the US with a nonconventional weapon , most notably anthrax .",15,13,AGENT,0
"The same week , the WTC head testified that while they had not received any briefing on the use of planes , they had taken steps to prepare for an attack using anthrax based on intelligence that had been received .",6,7,AGENT,1
"The same week , the WTC head testified that while they had not received any briefing on the use of planes , they had taken steps to prepare for an attack using anthrax based on intelligence that had been received .",35,7,AGENT,0
The confidante and right - hand man of Dr. Ayman Zawahiri admitted that Zawahiri succeeded in obtaining anthrax and intended to use it against US targets .,1,11,AGENT,1
The confidante and right - hand man of Dr. Ayman Zawahiri admitted that Zawahiri succeeded in obtaining anthrax and intended to use it against US targets .,13,14,AGENT,1
The confidante and right - hand man of Dr. Ayman Zawahiri admitted that Zawahiri succeeded in obtaining anthrax and intended to use it against US targets .,17,16,AGENT,1
Even Zawahiri 's attorney in 1999 said that Bin Laden and Zawahiri were likely to resort to the biological and chemical agents they possessed given the extradition pressure senior Al Qaeda leaders faced .,3,6,AGENT,1
Even Zawahiri 's attorney in 1999 said that Bin Laden and Zawahiri were likely to resort to the biological and chemical agents they possessed given the extradition pressure senior Al Qaeda leaders faced .,5,6,AGENT,0
Even Zawahiri 's attorney in 1999 said that Bin Laden and Zawahiri were likely to resort to the biological and chemical agents they possessed given the extradition pressure senior Al Qaeda leaders faced .,22,23,AGENT,1
Even Zawahiri 's attorney in 1999 said that Bin Laden and Zawahiri were likely to resort to the biological and chemical agents they possessed given the extradition pressure senior Al Qaeda leaders faced .,31,32,AGENT,0
A recently released islamist who had been a close associate of Zawahiri said that Zawahiri spent a decade and had made 15 separate attempts to recruit the necessary expertise to weaponize anthrax in Russia and the Middle East .,3,12,AGENT,1
A recently released islamist who had been a close associate of Zawahiri said that Zawahiri spent a decade and had made 15 separate attempts to recruit the necessary expertise to weaponize anthrax in Russia and the Middle East .,14,15,AGENT,1
A recently released islamist who had been a close associate of Zawahiri said that Zawahiri spent a decade and had made 15 separate attempts to recruit the necessary expertise to weaponize anthrax in Russia and the Middle East .,17,15,AGENT,0
A recently released islamist who had been a close associate of Zawahiri said that Zawahiri spent a decade and had made 15 separate attempts to recruit the necessary expertise to weaponize anthrax in Russia and the Middle East .,28,25,AGENT,0
A recently released islamist who had been a close associate of Zawahiri said that Zawahiri spent a decade and had made 15 separate attempts to recruit the necessary expertise to weaponize anthrax in Russia and the Middle East .,31,30,AGENT,0
"There was lax control over the distribution of the Ames strain that was used , especially in light of the fact that transfers were not even required to be recorded prior to 1997 .",3,1,AGENT,0
"There was lax control over the distribution of the Ames strain that was used , especially in light of the fact that transfers were not even required to be recorded prior to 1997 .",17,1,AGENT,0
"There was lax control over the distribution of the Ames strain that was used , especially in light of the fact that transfers were not even required to be recorded prior to 1997 .",22,26,AGENT,0
Senator Patrick Leahy at a Congressional hearing in the Spring of 2002 noted that the FBI had collected the Ames strain from 20 sources .,2,12,AGENT,1
Senator Patrick Leahy at a Congressional hearing in the Spring of 2002 noted that the FBI had collected the Ames strain from 20 sources .,6,12,AGENT,0
Senator Patrick Leahy at a Congressional hearing in the Spring of 2002 noted that the FBI had collected the Ames strain from 20 sources .,15,17,AGENT,1
Senator Patrick Leahy at a Congressional hearing in the Spring of 2002 noted that the FBI had collected the Ames strain from 20 sources .,20,17,AGENT,0
"At least according to the public comments by bioweaponeer experts William Patrick and Kenneth Alibek , under the optimal method , there is no electrostatic charge .",6,22,AGENT,0
"At least according to the public comments by bioweaponeer experts William Patrick and Kenneth Alibek , under the optimal method , there is no electrostatic charge .",19,22,AGENT,0
"At least according to the public comments by bioweaponeer experts William Patrick and Kenneth Alibek , under the optimal method , there is no electrostatic charge .",25,22,AGENT,0
"In the case of the anthrax used in the mailings , there was an electrostatic charge .",2,12,AGENT,0
"In the case of the anthrax used in the mailings , there was an electrostatic charge .",15,12,AGENT,0
Many point to the trillion spore concentration as extraordinary .,0,1,AGENT,1
Many point to the trillion spore concentration as extraordinary .,6,1,AGENT,0
Many point to the trillion spore concentration as extraordinary .,8,1,AGENT,0
"The reported finding at Dugway undermines the argument of both the "" bomb Iraq "" crowd and the liberals focused on Dr. Steve Hatfill who object to US biodefense research because they view it as being useful for offensive purposes .",2,5,AGENT,1
"The reported finding at Dugway undermines the argument of both the "" bomb Iraq "" crowd and the liberals focused on Dr. Steve Hatfill who object to US biodefense research because they view it as being useful for offensive purposes .",7,5,AGENT,1
"The reported finding at Dugway undermines the argument of both the "" bomb Iraq "" crowd and the liberals focused on Dr. Steve Hatfill who object to US biodefense research because they view it as being useful for offensive purposes .",13,12,AGENT,0
"The reported finding at Dugway undermines the argument of both the "" bomb Iraq "" crowd and the liberals focused on Dr. Steve Hatfill who object to US biodefense research because they view it as being useful for offensive purposes .",18,25,AGENT,1
"The reported finding at Dugway undermines the argument of both the "" bomb Iraq "" crowd and the liberals focused on Dr. Steve Hatfill who object to US biodefense research because they view it as being useful for offensive purposes .",31,32,AGENT,1
"The reported finding at Dugway undermines the argument of both the "" bomb Iraq "" crowd and the liberals focused on Dr. Steve Hatfill who object to US biodefense research because they view it as being useful for offensive purposes .",33,32,AGENT,0
Al Qaeda had both the means and opportunity .,1,2,AGENT,1
Al Qaeda had both the means and opportunity .,5,2,AGENT,0
US - trained Malaysian biochemist Yazid Sufaat met with 9/11 plotters and two hijackers in January 2000 .,6,7,AGENT,1
US - trained Malaysian biochemist Yazid Sufaat met with 9/11 plotters and two hijackers in January 2000 .,10,7,AGENT,0
US - trained Malaysian biochemist Yazid Sufaat met with 9/11 plotters and two hijackers in January 2000 .,15,7,AGENT,0
JI has ties with the Moro Front .,0,1,AGENT,1
JI has ties with the Moro Front .,2,1,AGENT,0
Sufaat used his company called Green Laboratory Medicine to buy items useful to Al Qaeda .,0,1,AGENT,1
Sufaat used his company called Green Laboratory Medicine to buy items useful to Al Qaeda .,3,1,AGENT,1
Sufaat used his company called Green Laboratory Medicine to buy items useful to Al Qaeda .,10,9,AGENT,0
"( Green symbolizes "" Islam "" and Prophet Mohammed 's holy war ) .",1,2,AGENT,0
"( Green symbolizes "" Islam "" and Prophet Mohammed 's holy war ) .",4,2,AGENT,1
"Yazid Sufaat provided Moussaoui with a letter indicating that he was a marketing representative for Infocus Technologies and allegedly provided him $ 35,000 .",1,2,AGENT,1
"Yazid Sufaat provided Moussaoui with a letter indicating that he was a marketing representative for Infocus Technologies and allegedly provided him $ 35,000 .",3,2,AGENT,1
"Yazid Sufaat provided Moussaoui with a letter indicating that he was a marketing representative for Infocus Technologies and allegedly provided him $ 35,000 .",6,2,AGENT,0
"Yazid Sufaat provided Moussaoui with a letter indicating that he was a marketing representative for Infocus Technologies and allegedly provided him $ 35,000 .",20,19,AGENT,1
"Yazid Sufaat provided Moussaoui with a letter indicating that he was a marketing representative for Infocus Technologies and allegedly provided him $ 35,000 .",21,19,AGENT,0
"The crop dusters were to be part of a "" second wave . """,2,3,AGENT,0
"After 9/11 , Yazid Sufaat traveled to Afghanistan and Pakistan to work for the Taliban Medical Brigade and to continue his work with anthrax .",1,5,AGENT,0
"After 9/11 , Yazid Sufaat traveled to Afghanistan and Pakistan to work for the Taliban Medical Brigade and to continue his work with anthrax .",4,5,AGENT,1
"After 9/11 , Yazid Sufaat traveled to Afghanistan and Pakistan to work for the Taliban Medical Brigade and to continue his work with anthrax .",7,5,AGENT,0
"After 9/11 , Yazid Sufaat traveled to Afghanistan and Pakistan to work for the Taliban Medical Brigade and to continue his work with anthrax .",21,19,AGENT,0
Sufaat was arrested in December 2001 upon his return to Malaysia .,0,2,AGENT,1
Sufaat was arrested in December 2001 upon his return to Malaysia .,4,2,AGENT,0
Sufaat was arrested in December 2001 upon his return to Malaysia .,8,2,AGENT,0
"Newsweek reported that a "" second wave "" involving biological attacks had been thwarted upon the arrest of Al Qaeda members who had been intended to provide logistical support .",0,1,AGENT,1
"Newsweek reported that a "" second wave "" involving biological attacks had been thwarted upon the arrest of Al Qaeda members who had been intended to provide logistical support .",10,8,AGENT,0
"Newsweek reported that a "" second wave "" involving biological attacks had been thwarted upon the arrest of Al Qaeda members who had been intended to provide logistical support .",6,13,AGENT,1
"Newsweek reported that a "" second wave "" involving biological attacks had been thwarted upon the arrest of Al Qaeda members who had been intended to provide logistical support .",20,24,AGENT,1
"Newsweek reported that a "" second wave "" involving biological attacks had been thwarted upon the arrest of Al Qaeda members who had been intended to provide logistical support .",28,26,AGENT,0
